corner_index,x_pixel,y_pixel
0,101,112
1,137,112
2,173,112
3,209,111
4,244,111
5,280,111
6,316,111
7,351,111
8,386,111
9,101,147
10,137,147
11,173,147
12,209,146
13,245,146
14,280,146
15,316,146
16,351,146
17,386,146
18,101,182
19,137,182
20,173,182
21,209,181
22,245,181
23,280,181
24,316,180
25,351,180
26,387,180
27,101,217
28,137,217
29,173,217
30,209,216
31,245,216
32,281,216
33,316,215
34,352,215
35,387,215
36,100,253
37,136,252
38,173,252
39,209,251
40,245,251
41,281,250
42,317,250
43,352,250
44,387,249
45,100,288
46,136,288
47,173,287
48,209,287
49,245,286
50,281,285
51,317,285
52,352,285
53,387,284
54,100,324
55,136,323
56,172,323
57,209,322
58,245,321
59,281,321
60,317,320
61,353,320
62,388,319
63,100,359
64,136,359
65,172,358
66,209,357
67,245,357
68,281,356
69,317,355
70,353,355
71,388,354
72,99,395
73,136,395
74,172,394
75,209,393
76,245,392
77,281,391
78,317,391
79,353,390
80,388,389
81,99,431
82,136,430
83,172,430
84,209,429
85,245,428
86,281,427
87,317,426
88,353,425
89,388,425
90,99,467
91,136,466
92,172,466
93,209,465
94,245,464
95,281,463
96,317,462
97,353,461
98,389,460
