Frame,RMS_Error,Status,GridX,GridY
0,0.130314,OK,2,1
1,0.140408,OK,2,1
2,0.150638,OK,2,1
3,0.134778,OK,2,1
4,0.135339,OK,2,1
5,0.132915,OK,2,1
6,0.173124,OK,2,1
7,0.234387,OK,1,1
8,0.327525,OK,1,1
9,0.304748,OK,1,1
10,0.261269,OK,1,1
11,0.156282,OK,1,1
12,0.361757,OK,1,1
13,0.190608,OK,1,1
14,0.139801,OK,0,1
15,0.157418,OK,0,1
16,0.135243,OK,0,1
17,0.123577,OK,0,1
18,0.117441,OK,0,1
19,0.104251,OK,0,1
20,0.0971082,OK,0,1
21,0.590218,OK,0,0
22,0.593953,OK,0,0
23,0.169304,OK,0,0
24,0.116722,OK,0,0
25,0.16217,OK,0,0
26,0.151981,OK,0,0
27,0.153145,OK,0,0
28,0.188692,OK,1,0
29,0.183757,OK,1,0
30,0.177537,OK,1,0
31,0.216071,OK,1,0
32,0.191209,OK,1,0
33,0.18338,OK,1,0
34,0.191731,OK,1,0
35,0.185593,OK,2,0
36,0.136842,OK,2,0
37,0.140186,OK,2,0
38,0.146143,OK,2,0
39,0.140011,OK,2,0
40,0.127847,OK,2,0
41,0.14861,OK,2,0
42,0.131235,OK,2,2
43,0.142059,OK,2,2
44,0.139193,OK,2,2
45,0.126583,OK,2,2
46,0.115768,OK,2,2
47,0.133648,OK,1,2
48,0.135163,OK,1,2
49,0.140533,OK,1,2
50,0.151138,OK,1,2
51,0.15237,OK,1,2
52,0.182473,OK,1,2
53,0.145176,OK,1,2
54,0.170184,OK,1,2
55,0.152408,OK,1,2
56,0.164219,OK,0,2
57,0.15219,OK,0,2
58,0.142075,OK,0,2
59,0.283436,OK,0,2
60,0.343396,OK,0,2
61,0.175957,OK,0,2
62,0.184532,OK,0,2
63,0.100857,OK,0,2
64,0.108887,OK,0,2
65,0.108025,OK,0,2
66,0.102859,OK,0,2
67,0.0709579,OK,1,2
68,0.0707637,OK,1,2
69,0.0746696,OK,1,2
70,0.053249,OK,1,2
71,0.0624577,OK,1,2
72,0.0708861,OK,1,2
73,0.0628962,OK,2,2
74,0.10528,OK,2,2
75,0.136434,OK,2,2
76,0.129605,OK,2,2
77,0.14432,OK,2,2
78,0.178673,OK,2,2
79,0.123356,OK,2,2
80,0.114585,OK,1,2
81,0.11926,OK,0,2
82,0.117141,OK,0,2
83,0.152855,OK,0,2
84,0.140548,OK,0,2
85,0.776614,OK,0,1
86,0.114275,OK,0,1
87,0.145107,OK,0,1
88,0.211604,OK,0,1
89,0.557579,OK,1,1
90,0.318751,OK,1,1
91,0.767926,OK,1,1
92,0.269086,OK,1,1
93,0.10896,OK,1,1
94,0.113647,OK,1,1
95,0.0864839,OK,2,1
96,0.114991,OK,2,1
97,0.117426,OK,2,1
98,0.135008,OK,2,1
99,0.137672,OK,2,0
100,0.120007,OK,2,0
101,0.108826,OK,2,0
102,0.125952,OK,1,0
103,0.128317,OK,1,0
104,0.123548,OK,1,0
105,0.124937,OK,1,0
106,0.107658,OK,0,0
107,0.099513,OK,0,0
108,0.117602,OK,0,0
109,0.148835,OK,0,0
110,0.132573,OK,0,0
111,0.189089,OK,0,0
112,0.147457,OK,0,0
113,0.129374,OK,0,0
114,0.124455,OK,0,0
115,0.117981,OK,1,0
116,0.127044,OK,1,0
117,0.132891,OK,1,0
118,0.146444,OK,1,0
119,0.145021,OK,2,0
120,0.15114,OK,2,0
121,0.183678,OK,2,0
122,0.167623,OK,2,0
123,0.383182,OK,2,0
124,0.124382,OK,2,0
125,0.127691,OK,2,0
126,0.160344,OK,1,0
127,0.168913,OK,1,0
128,0.146316,OK,1,0
129,0.116357,OK,0,0
130,0.0832301,OK,0,0
131,0.0930809,OK,0,0
132,0.511191,OK,0,1
133,0.28519,OK,0,1
134,0.204393,OK,0,1
135,0.2264,OK,0,1
136,0.257951,OK,1,1
137,0.463851,OK,1,1
138,0.112013,OK,1,1
139,0.100463,OK,1,1
140,0.0973763,OK,1,1
141,0.0926898,OK,1,1
142,0.106094,OK,2,1
143,0.120487,OK,2,1
144,0.122309,OK,2,1
145,0.140261,OK,2,1
146,0.0984584,OK,2,1
147,0.260475,OK,2,1
148,0.131816,OK,2,1
149,0.101543,OK,2,1
150,0.120085,OK,1,1
151,0.0699285,OK,1,1
152,0.0712327,OK,0,1
153,0.11427,OK,0,1
154,0.0853675,OK,0,1
155,0.0998546,OK,0,1
156,0.0812003,OK,0,2
157,0.08431,OK,0,2
158,0.0858734,OK,0,2
159,0.0814816,OK,0,2
160,0.0881549,OK,1,2
161,0.0927173,OK,1,2
162,0.0893806,OK,2,2
163,0.113569,OK,2,2
164,0.14217,OK,2,2
165,0.117725,OK,2,2
166,0.127332,OK,2,2
167,0.122528,OK,2,2
168,0.0886939,OK,1,2
169,0.0912056,OK,1,2
170,0.117445,OK,0,2
171,0.112977,OK,0,2
172,0.112396,OK,0,2
173,0.137291,OK,0,2
174,0.104634,OK,0,2
175,0.116647,OK,0,2
176,0.113517,OK,1,2
177,0.127213,OK,1,2
178,0.116836,OK,1,2
179,0.0892497,OK,2,2
180,0.10812,OK,2,2
181,0.119413,OK,2,2
182,0.123685,OK,2,1
183,0.0615588,OK,1,1
184,0.0395428,OK,1,1
185,0.0276014,OK,0,1
186,0.0934383,OK,0,1
187,0.0856038,OK,0,1
188,0.14788,OK,1,1
189,0.15831,OK,1,1
190,0.191521,OK,2,1
191,0.12804,OK,2,1
192,0.196306,OK,2,1
193,0.122709,OK,2,1
194,0.120043,OK,2,1
195,0.140357,OK,1,1
196,0.126806,OK,1,1
197,0.119423,OK,0,1
198,0.0504637,OK,0,1
199,0.16604,OK,0,1
200,0.164216,OK,0,0
201,0.124926,OK,0,0
202,0.0920534,OK,0,0
203,0.0887501,OK,0,0
204,0.10796,OK,0,0
205,0.103696,OK,1,0
206,0.0758645,OK,1,0
207,0.10351,OK,1,0
208,0.13397,OK,1,0
209,0.139843,OK,1,0
210,0.128341,OK,2,0
211,0.128095,OK,2,0
212,0.113825,OK,2,0
213,0.180464,OK,2,0
214,0.17974,OK,2,0
215,0.129931,OK,2,0
216,0.114555,OK,2,0
217,0.116256,OK,1,0
218,0.11488,OK,1,0
219,0.0818562,OK,0,0
220,0.115431,OK,0,0
